"Estado","Tipo","Ano","AS_EM","AS_LC","AS_LX","AS_TE","AS_PA","AS_RL","AS_CS","AS_DM","AS_VD","AS_RD","AS_TR","CH_CM","CH_PA","CH_PT","CH_QT","ED_AE","ED_E1","ED_E2","ED_IO","ED_UF","ED_UM","ED_CI","EP_EJ","EP_EP","EP_JP","EP_LP","EP_IT","EP_QI","EP_PJ","EP_SG","EP_PS","EP_EG","EP_GE","IF_AT_FI","IF_QT","IF_CR","IF_CS","IF_DV","IF_EL_FI","IF_I1","IF_I2","IF_QR","IF_FO","IN_IF","IN_PF","IN_BC","IN_IN","IN_PC","PM_PB_TM","PM_PB_TX","PM_FT","SF_CI","SF_RO","SF_SF","SF_SO","SF_AU","SF_RP","SF_GP","SF_IL","SF_PC","SP_JC","SP_SC","SP_CC","SP_IH","SP_MT","SP_MO","SP_SG","SP_SP","SP_QI","SS_AM","SS_BE","SS_DS","SS_DS_AG","SS_DS_ES","SS_EV","SS_FM","SS_IE","SS_IH","SS_IJ","SS_MA","SS_MP","SS_SI","SS_DI","SS_OI","SS_CV","SS_ER","V1","V2","V3"
"Pará","Normalizados",2019,52.9,13.1,45,0,75,12.2,4.3,NA,NA,57.4,NA,92.4,0,8,6.1,50,1,20.6,27,48.9,26,21.8,13.1,89.8,88.1,82.8,NA,74.6,19.2,48.7,37.1,78.7,67.9,9.6,0,46.4,96.1,7.6,0,0,99.4,26.3,52.5,8.4,3.7,NA,20,44.5,6.8,42.9,49.3,62.7,47.9,94.8,88.2,51.1,27.9,73.8,89.2,49.8,NA,58.1,70.7,90.8,66.7,88.1,15.4,93.8,NA,15,64.3,29.3,6.3,12.5,41.4,0,65.6,NA,29.8,27.1,30.1,37.1,NA,NA,NA,48.1,12.1299746193933,6.36387407709616,82.130328314994
"Paraíba","Normalizados",2019,92.3,48.1,60,37.6,78.5,23.5,12.9,NA,NA,38.2,NA,88.7,21.1,4.9,10.7,100,27.8,48.3,18,71.1,23,53.2,6.2,76.5,59.1,75.3,NA,57,2.1,81.2,48.4,9.4,41.5,24,92.6,80.6,59.8,1.8,98,62.1,100,52.6,31.5,38.2,9.5,NA,21.3,73.3,2.3,11.7,22.5,41,50.5,89.3,62.5,26.4,31.4,59.1,80.8,46.5,NA,47.7,83.6,98.6,50.8,78.6,46.8,100,NA,73.6,46.9,8.8,60.1,49.5,86.1,26.3,38.9,NA,25.8,59.1,63.9,64,NA,NA,NA,81.9,37.8486597772109,10.4829189890865,15.3745409365495
"Pernambuco","Normalizados",2019,93.5,48,56.4,26.2,52.9,5.4,19,NA,NA,5.4,NA,86.1,19.3,12.6,33,100,49,50.1,15,66.7,56.8,55.1,9.7,84.3,72.5,84,NA,81.1,35.1,69.7,33.3,78.3,62.3,27,73.7,71.4,72.2,14.2,96.8,86.9,95,46.5,65.4,19.3,10.8,NA,44.9,75.8,7.9,36.3,27.3,15.3,44.7,79.3,95.9,56.7,30.1,59.6,0.3,30.5,NA,34.2,48.6,65,67.5,91.3,6.6,53.5,NA,59.4,45.1,12.2,57.5,63.7,76.5,36.4,21.7,NA,21.8,74.5,26.2,61.6,NA,NA,NA,41.4,42.2028067119449,21.2169025442315,28.0578828195988
"Piauí","Normalizados",2019,92.1,32.2,36.1,13.4,56.7,2.2,0.7,NA,NA,0.4,NA,97,13.9,0,0,100,51.9,31,17,57.8,43.5,58.7,0,0,60,57.8,NA,69.8,0,40.1,44.1,39.5,95.2,18.5,75.4,63.9,68.8,1.3,73.4,31,79.1,44,0,8.4,0,NA,60.6,40.7,1.5,46.7,15.7,61,63,78.5,63.8,22.1,0,37.1,0,0,NA,10.8,78.3,91.1,9.4,53.2,64.8,48.7,NA,83.2,48.7,0.7,78,0,76.2,8.7,31,NA,31,36.3,59.3,44.9,NA,NA,NA,37.6,18.2289094181487,13.4238640416485,9.85610116587485
"Paraná","Normalizados",2019,93.1,64.7,100,84.7,87.6,100,100,NA,NA,0.8,NA,55.5,40.1,32.3,57.7,70,90.3,83.5,4,80,77.8,71.5,17.6,99.7,96.7,96.4,NA,93.7,66.6,83.4,68.4,9.6,74.9,56.3,57.7,100,36.9,18.9,99.5,46.9,91.5,52.4,100,52.7,76.7,NA,79.8,54.3,19.5,47.3,15.6,25.3,90.6,82.3,50,77.5,24.1,48.5,79.3,40.6,NA,55,95.2,87.8,41.5,86.3,68.4,57.4,NA,89.4,90,61.9,87.2,75.1,86.4,83.7,82.5,NA,68.4,77.2,56.3,85.5,NA,NA,NA,22.4,86.4315732045315,38.52877013971,63.0852369028609
"Rio de Janeiro","Normalizados",2019,92.7,57.1,74.9,41.6,80.6,13.4,30.1,NA,NA,0.1,NA,47.7,58.4,41.2,81,0,53.2,94.6,10,51.1,65.4,54.6,1.9,89.7,93.7,95.2,NA,80.7,100,63.4,51.2,74.3,27,56.4,63.1,51.5,25.8,29.9,100,4.1,86.8,77.8,100,38.2,42.3,NA,54.3,36.5,30.9,5.7,9.6,3.1,0,0,23.2,90.4,26.4,39.9,30.3,33.6,NA,27.3,86.2,0,100,93.2,45.5,0,NA,74.2,81.9,32.7,83.6,97.3,88.2,72.8,24.3,NA,48.5,56.2,18.1,60,NA,NA,NA,10,69.1934840554619,54.5760920196626,91.2803948288945
"Rio Grande do Norte","Normalizados",2019,92.9,54,39.1,33.7,50.4,8.3,18.1,NA,NA,19.4,NA,84.2,25.3,9.4,32.2,100,9.3,60.9,22,66.7,39.9,73.9,40.5,68.6,59.1,77.9,NA,0,60,48.7,30.5,13.6,49.4,20.6,100,63.1,62.9,2.8,92.6,100,97.4,38,46.9,27.1,30.6,NA,48.7,48.6,2.3,1.6,31.6,45.2,61.7,86.3,37,32.6,18,0,0,10.5,NA,57.6,95.6,83.7,80.7,77.9,0,73.4,NA,28.9,60.2,21.1,81.8,21.5,79.1,45.1,34.3,NA,44.7,60,23.1,69.4,NA,NA,NA,75.7,37.2831995968765,30.2824998551103,13.0257768395172
"Rondônia","Normalizados",2019,40.8,0,34.9,0.3,28.8,36.2,24.5,NA,NA,17,NA,76.2,13,16.1,23,0,51.7,17.1,11,84.4,49.6,12.8,70.8,41.3,41.9,73.4,NA,93.7,89.4,63.7,62.1,9.7,89.6,26.2,73.4,51.4,76.3,1.1,88.1,67.9,70,47.8,46.9,0.2,4.5,NA,80.9,31.3,1.5,68.2,37.6,24.4,69.1,87.7,44.9,33.1,36.7,80.1,95.8,69.6,NA,100,77.3,89.2,40.9,76,48.9,47,NA,19.1,85.6,70.1,0,8.6,59.4,37.9,76.2,NA,55,70.9,68.1,76.9,NA,NA,NA,100,17.0661616512095,49.8551346514458,65.1329242252691
"Roraima","Normalizados",2019,0,69.9,34.9,74.3,18.5,0,0,NA,NA,12.8,NA,65.2,34,18.5,62.6,0,37.5,22.7,23,0,63.4,12.3,100,2,31.8,0,NA,26.5,100,0,28.1,49.1,62.5,27.2,51.5,73,86.9,0,88.5,65.7,0,66.5,32.1,24.3,0,NA,55,0,0,86.7,100,0,37.2,81.5,34.9,3,100,93,47.9,83.7,NA,59.2,0,63.6,45.7,0,12.9,69.5,NA,64.8,60.9,15.6,77.1,33.9,0,37,17.2,NA,37.2,0,21.2,0,NA,NA,NA,54.3,8.75710011550248,95.9554569388267,33.7628121856986
"Rio Grande do Sul","Normalizados",2019,92.9,42.6,74.3,25.2,71.3,98.4,77.6,NA,NA,3.4,NA,54.2,34.1,31.5,56.5,50,58.8,85.2,14,55.6,55.7,66.2,29.1,94.4,100,97.7,NA,62,79.7,98.7,85.1,39.6,35.9,61,60.6,63,0,13,99.1,36.2,77.6,48.5,74.5,2.9,100,NA,94.9,62.8,19.5,45.4,0,0.1,37.5,19.9,93.2,83.7,24.4,15,0,8.7,NA,53.1,90.9,96.2,73.5,98.6,64.8,56,NA,79.9,97.2,55.1,84.1,74,100,82.4,83.8,NA,82.1,87.1,70.6,87.1,NA,NA,NA,7.1,73.5628218836181,39.3853026672875,86.9073879146352
"Santa Catarina","Normalizados",2019,95,53.7,64.2,29.4,88.1,92.6,85.1,NA,NA,1.6,NA,56.5,41.6,34.2,61.5,20,78.6,92.4,6,68.9,75.9,100,25.9,86.4,91.5,94.4,NA,80.7,96.6,100,65.7,74.5,75,58.3,88.6,88.7,40.2,10.5,99.4,89.7,89.2,46.2,100,27.7,93.7,NA,100,43.5,12.9,77.4,28.1,30.3,64.5,69.6,55.6,76.6,27.7,63.7,93.8,39.4,NA,68.6,100,94.3,47,84.3,89.3,73.4,NA,81.9,97.7,100,74.2,62.8,87.8,100,100,NA,100,89.4,77.5,100,NA,NA,NA,27.6,78.6152359156644,50.0286714205494,82.2200553391761
"Sergipe","Normalizados",2019,91.6,53.1,0,26.1,67.6,15.4,27.3,NA,NA,4.5,NA,90.6,6.5,6.9,7.1,10,10.8,52.7,21,57.8,0,52.1,75.8,45.2,56.1,69.7,NA,93.7,100,64.6,26.5,88.1,52,24.5,89.2,71.4,37.4,1.4,86.5,77.8,97.8,35.9,74.8,11.3,9.4,NA,24.8,64.4,1.3,0,35.4,15.3,26.6,81.5,100,17.8,25.3,48.9,68.7,23.4,NA,9.3,71.4,81.8,59.8,82.2,6.8,78.6,NA,71,55.1,0,77.5,47.3,62.3,26,15.1,NA,38.5,85.2,17,27.5,NA,NA,NA,50,23.8959270988768,42.0527041787883,60.0404777643044
"São Paulo","Normalizados",2019,93.7,89.8,81.7,82.9,87.1,43.3,73.5,NA,NA,2.2,NA,40.6,51.5,46.1,78.3,100,100,100,1,73.3,100,93,17.9,100,99.6,100,NA,41.8,100,65.9,100,96.1,41.9,100,53.1,99.5,73.5,100,99.8,88.2,93.4,95.6,86,100,68.1,NA,35.4,36.2,100,32,20.5,41.2,82.7,38.3,89.4,100,28.9,79.3,67.4,29.8,NA,80.5,88,69.4,90,86,100,21.5,NA,95.1,94.6,30.6,100,100,92.9,89.4,44.7,NA,53.2,76,100,79.2,NA,NA,NA,6.2,100,50.2880542653053,38.8020464526361
"Tocantins","Normalizados",2019,96.6,54,51,29.2,90.1,11.3,6.1,NA,NA,5.1,NA,80.8,31.1,15.4,36.9,50,42,22.4,16,62.2,60.4,46.7,31.8,48.4,39.9,60.6,NA,87.4,39,58.9,46.7,51.6,56,29.5,84.7,61.8,44.3,0.8,79.3,44,98.6,32.5,34.1,0.5,5.5,NA,73.3,31.6,1.1,55.9,45.9,20.7,42.2,77.7,53.1,16.6,27.7,30.2,0,31.3,NA,36.7,67.2,86.5,0,71.8,44.6,74.8,NA,61.7,69.3,36.7,72.7,33.1,63.4,44.3,66.3,NA,48.3,55.5,40.1,82.7,NA,NA,NA,39.5,32.3002589222319,37.5837958573464,35.1521466366043
"Acre","Normalizados",2020,0,63.0577563672242,45.7,9.2,26.6,2.4,0,86.8,97.3,18.9,11.1,79.6,31.1,3.5,30.1,0,NA,NA,NA,NA,NA,NA,95.5,47.9,63.9,39,31.8,96.3,100,NA,NA,NA,NA,16.4,53.3,0,100,0.2,NA,61.4,59.8,NA,62,NA,NA,46.8,0,NA,0.1,21.1,79.4,29.1,62.6,77,60.3,4.5,34.8,47.7,85.8,24,100,60.3,96.6,91.7,79.4,59.3,34.1,43.8,7.1,NA,NA,NA,NA,NA,28.2,34.7,34.6,NA,NA,96.1,48.6,28.3,50.7,44.3,35.2,63.7,15.7116586003403,55.8963545369587,70.8336364878401
"Alagoas","Normalizados",2020,65.6878610968963,52.2831700929701,100,11.8,86.5,10.5,13.4,83.3,91.1,54.6,0,93.6,12.1,6.1,15.8,50,NA,NA,NA,NA,NA,NA,66.6,76.9,77,76,95.1,81.9,61.2,NA,NA,NA,NA,8,84.9,61.8,43.3,2.2,NA,66.4,64.6,NA,67.2,NA,NA,34.9,34.4,NA,1.9,36.3,29.3,85.7,65.6,77.3,65.4,34.3,34.2,79,86.6,60.8,32,42.7,49.2,100,48,89.4,21.8,85.9,100,NA,NA,NA,NA,NA,61.3,42.7,8.7,NA,NA,73.8,27.4,70.7,35.5,14.9,42,18.1,36.7526292517895,27.3242871234546,49.0424450000612
"Amazonas","Normalizados",2020,81.3749957742433,57.2263290220973,83.4,16.2,32.6,13.2,14.1,97.6,92,0,77.8,81.2,17.7,17.3,33.8,20,NA,NA,NA,NA,NA,NA,40.7,89.4,92.1,80.8,73.9,94.8,57.7,NA,NA,NA,NA,25.5,0,72.1,52,6.2,NA,48.7,96.5,NA,8.3,NA,NA,100,86.2,NA,4.3,95.1,76,41,37.3,89.3,71.3,64.6,15.6,96.9,97.5,29,12.3,49,73.2,98.7,93.9,100,51.6,24,14.1,NA,NA,NA,NA,NA,39.2,7.1,29.9,NA,NA,48.7,48.3,48.2,51.2,45.7,57.1,7.8,37.3876979867762,33.5550471908807,94.5141650504918
"Amapá","Normalizados",2020,100,80.0303334674972,54.9,7.7,0,0,0,99.7,100,14.6,44.4,75.1,32.3,8.3,51.3,20,NA,NA,NA,NA,NA,NA,59.3,0,25.6,42.9,96.7,70.6,23.4,NA,NA,NA,NA,22.5,20.6,78.3,94.8,0.4,NA,100,74,NA,26.9,NA,NA,16.8,68.3,NA,0.1,41.4,90.9,10,26.6,100,16.6,4.7,39.9,90,100,100,23,54.5,100,88.6,100,87.8,9.8,12,13.4,NA,NA,NA,NA,NA,9.9,35.8,34.8,NA,NA,54.6,19,19.8,64.3,49.4,0,100,17.2638692368518,65.6831403421069,38.0280093323093
"Bahia","Normalizados",2020,63.8672308833302,40.9542473739292,41.9,45.3,70.6,12.4,3.3,75.5,74.1,36,11.1,89.5,5,6.6,16.6,20,NA,NA,NA,NA,NA,NA,15.6,90,89.5,87.8,72.5,91.9,100,NA,NA,NA,NA,17.4,55.8,75,44.6,14,NA,56.3,92.9,NA,61.5,NA,NA,49.2,13.5,NA,12.4,22.7,19.2,58.9,59.3,77.6,70.3,60.5,13.7,72.3,93.3,26.1,1.2,19.5,92.4,57.8,68.4,82.4,0.9,72.6,62.3,NA,NA,NA,NA,NA,64.3,25.2,0,NA,NA,79,0,55.3,25.8,43.4,43.9,21.1,37.7993380632832,25.9899287487509,76.7425374695211
"Ceará","Normalizados",2020,66.2126389708382,46.1960836538153,54.2,29.9,63.2,7.4,5,85.4,92,54.9,77.8,89.7,13.1,0.1,21.7,100,NA,NA,NA,NA,NA,NA,41.8,80.9,89.7,85.4,100,86.2,58.1,NA,NA,NA,NA,24.6,74.7,58.7,72.4,8.8,NA,73.2,75.2,NA,90.9,NA,NA,41.8,21.9,NA,6.5,29.8,27.8,87.4,72.5,78.3,53.2,52.7,11.8,92.8,81.2,37.2,20.2,28.1,66.4,3.7,73.4,67.3,0,50.8,84,NA,NA,NA,NA,NA,74.4,23.1,48.7,NA,NA,69.2,3,71.2,53.7,0.6,72,18.1,40.5991384370297,16.0390788713602,36.0549429783225
"Distrito Federal","Normalizados",2020,66.4967615533863,87.1924006349257,19.1,100,85.7,45.3,67.3,100,83.9,5.3,55.6,0,100,100,100,100,NA,NA,NA,NA,NA,NA,78.2,73.3,0,91.1,94.9,88,100,NA,NA,NA,NA,69.1,100,76.5,23.9,26.1,NA,84,84.6,NA,100,NA,NA,26.9,47.5,NA,10.9,17.3,48.9,16.5,10.6,84.7,55.3,90.3,7.2,95.5,57.6,22.6,95.7,91,73.5,91.3,89.1,78,85.7,21.8,83.5,NA,NA,NA,NA,NA,68.3,95.5,36.9,NA,NA,93,95.9,85,94.2,100,85,50.7,74.3586666034015,84.9139297139319,0
"Espírito Santo","Normalizados",2020,62.0277493750295,77.1849100070211,80.8,42.3,77.1,29.4,26,98.5,97.3,36.7,11.1,69.6,26.3,13.8,40.9,100,NA,NA,NA,NA,NA,NA,21.1,76.5,90.2,93,100,92.5,26,NA,NA,NA,NA,37.6,70.8,79.4,81.5,4.5,NA,62.4,96.6,NA,76.4,NA,NA,52.3,28.5,NA,5.2,0,35.1,75.5,100,91.7,39.4,55.2,11.6,99.1,97.5,51.9,70.8,56.8,69.8,48,54.7,66.2,42.8,29,90.3,NA,NA,NA,NA,NA,75.5,62.2,52.1,NA,NA,81.5,34.9,85.1,50.7,50.8,81.5,37.4,51.514243984386,20.783248226527,32.2255109033359
"Goiás","Normalizados",2020,64.6234866316789,59.5045809338531,58.3,54.3,100,31.3,40.9,79.6,66.1,5.3,66.7,69.2,19.3,8.9,39,100,NA,NA,NA,NA,NA,NA,28.2,65.8,82.2,78.9,77.4,92.1,63,NA,NA,NA,NA,45.7,72.7,74.7,29.1,4.4,NA,44.8,79.4,NA,46.3,NA,NA,37.9,24.5,NA,8.8,50.8,49.2,18.1,49.8,72.9,62,75.6,18.5,66.6,0,22.7,29.7,44.5,77.4,78.2,39.8,67.6,40.7,73.7,76.4,NA,NA,NA,NA,NA,68.3,62.4,53.9,NA,NA,72.6,32.9,75.6,23.5,40.7,69.4,71.5,51.7764048893038,24.3917385332304,30.97365311334
"Maranhão","Normalizados",2020,56.7962616633121,8.85638700032742,16.6,6.8,33,9.8,1.2,72.2,69.6,55.5,11.1,100,0,0.3,13.8,20,NA,NA,NA,NA,NA,NA,33.1,73.3,80,78.7,79.6,75.2,36.4,NA,NA,NA,NA,0,43.6,74.1,73.6,2.9,NA,61.2,96.5,NA,56.9,NA,NA,39.5,8.1,NA,4,59.7,40.5,62.8,67,82,43.3,25.5,9.8,86.1,46.7,23,15.1,37.1,90.2,96.5,50.5,87.6,45.5,45.9,73.9,NA,NA,NA,NA,NA,55.8,1.8,28.8,NA,NA,65.2,59,52.9,0,29.2,19,44.1,20.3201328982408,20.0842936709054,73.3613170138824
"Minas Gerais","Normalizados",2020,64.1105347566387,59.1792829335928,76.4,40.5,79,41.8,32.2,88.3,87.5,23.1,88.9,73.5,19.9,12.3,34.1,100,NA,NA,NA,NA,NA,NA,33.6,88.5,88.4,93.6,100,88.4,56,NA,NA,NA,NA,42.8,66.7,73.7,63.5,16.9,NA,19.1,92.2,NA,42,NA,NA,44,46,NA,27.6,27.2,13.9,10.1,61.8,38.6,69.4,80.9,14.4,42.2,0,4.7,0,35,77.3,49.5,73.9,74.7,90,96.2,37.7,NA,NA,NA,NA,NA,89,67.1,53.5,NA,NA,93.7,84.6,83.9,48.2,52.4,87.8,39.3,52.8917968375932,16.9944601648008,44.9541799219074
"Mato Grosso do Sul","Normalizados",2020,65.0170102228806,75.063248629812,90.4,43.4,87.4,37.6,65.1,65.8,0,2.4,0,61.8,27.7,28.5,34.8,30,NA,NA,NA,NA,NA,NA,32,80.6,87.6,87.6,98.6,95.1,63.5,NA,NA,NA,NA,37.6,85.2,72,37.2,2.2,NA,45.4,96.5,NA,85.2,NA,NA,38.6,95.1,NA,4.5,64.5,38.4,65.5,50,82.3,61.5,60.5,30,71.1,68.4,55.1,86.5,79.3,59.5,62.4,38.7,46.7,76.4,94,47.2,NA,NA,NA,NA,NA,71.9,67.3,72.3,NA,NA,94.6,67.6,77,81.7,41,77.3,58.1,55.967019857083,39.9822293385197,64.3595922751978
"Mato Grosso","Normalizados",2020,46.00184096738,38.4176901104036,71.1,37.5,66.8,28.6,21.1,83.5,75,21.7,100,62.8,24.3,21.4,32.4,30,NA,NA,NA,NA,NA,NA,59.9,77.9,86.1,81.5,94.9,88.3,84.4,NA,NA,NA,NA,37.2,71.7,71.4,91.4,4.9,NA,27.4,99.2,NA,70.4,NA,NA,26.4,50,NA,5.9,100,43,42.6,51.7,93.1,56.9,67.7,42.2,75.4,85.4,74.1,49.6,38.5,88.3,73.1,0,76,47.2,83.4,74.8,NA,NA,NA,NA,NA,50.2,60.3,73.7,NA,NA,62.5,32,67.1,39.6,61.9,81.3,64.4,43.806512126186,36.2795271966102,71.5207884255156
"Pará","Normalizados",2020,37.0932669182519,7.13237647139734,18.6,1.2,80.3,7.8,2.9,90.9,91.1,41.3,88.9,88.6,2.2,1.9,7.1,70,NA,NA,NA,NA,NA,NA,4.2,88.5,93,82.9,19.8,94,0,NA,NA,NA,NA,8.6,21.5,45.7,93.8,8.1,NA,23.6,100,NA,52.4,NA,NA,28.7,20.1,NA,7.1,62.2,56.4,100,63.3,93.7,79.5,53.3,6.8,88.2,84.7,32.5,10.5,69.9,71.4,86.7,58.2,81.3,35.2,30.9,93.8,NA,NA,NA,NA,NA,46.9,0,69,NA,NA,61.3,49.4,39.3,30.2,46.7,29.6,39.3,26.6366084716819,0.337656713437951,67.682075153625
"Paraíba","Normalizados",2020,65.4915101453315,27.9436107946978,80.2,36,77.4,19,12.9,24.4,96.4,75.2,66.7,83.3,19.4,0,13,80,NA,NA,NA,NA,NA,NA,38.9,75,75.4,76.4,96.7,96.9,59.4,NA,NA,NA,NA,24.9,89.2,88.2,58.6,1.6,NA,67.3,97.6,NA,42.3,NA,NA,47.7,21.5,NA,2.3,16.7,25.2,26.4,16.8,91.1,49.8,28.8,33,57.5,83.8,45.6,30.7,65.6,87.8,93.2,50.2,69,45.1,91.9,89.2,NA,NA,NA,NA,NA,82.4,33.6,37.9,NA,NA,66.8,56.7,66.8,64.5,26.4,45.4,61.9,40.4547605792318,14.9150788271987,38.2678649003435
"Pernambuco","Normalizados",2020,65.8584946312454,24.9738426687755,91,24.9,52.7,6.5,10.1,92.4,93.8,37.9,11.1,86.4,12.2,7.6,26.6,100,NA,NA,NA,NA,NA,NA,67.6,78.9,82.5,84.8,92.1,100,54,NA,NA,NA,NA,21.5,68.2,67.7,70.9,10.7,NA,71.3,91.7,NA,65.7,NA,NA,56.1,45.2,NA,8.1,42.7,31.4,18.4,34.2,80.1,81.8,57.7,15.8,72.4,47.7,15.2,28.7,28.2,28.2,21.7,65.5,87.8,19.2,54.7,94.9,NA,NA,NA,NA,NA,73.6,35.1,21.7,NA,NA,81.7,26.9,64.1,42.1,19.2,46.6,34.4,40.0837886623514,18.0627268127175,39.515158404665
"Piauí","Normalizados",2020,63.1577353692294,31.7430341704318,48.4,11.8,63.3,4.7,0.7,69.9,66.1,12.3,0,96.9,12.5,1.9,0,100,NA,NA,NA,NA,NA,NA,15.1,21.6,78.5,60.7,44.6,88.1,14.7,NA,NA,NA,NA,22.4,59.8,66.7,70,1.2,NA,50,78.3,NA,0,NA,NA,39.9,61.2,NA,1.7,60.7,17.5,64,55.9,83.4,52.8,16.6,51.8,100,63.1,53.5,14,5.4,91.5,69.2,10.7,42.8,65.3,40.8,99.9,NA,NA,NA,NA,NA,72,8.2,51.1,NA,NA,71.7,54.8,44.7,47.4,42.8,54,25.6,25.1258703739775,12.1223456599132,24.8421575079804
"Paraná","Normalizados",2020,64.5604504626839,62.6959702713853,94.8,77.1,86.5,99,100,95.5,95.5,19,11.1,55,42,24.4,54.2,100,NA,NA,NA,NA,NA,NA,45,98.2,99.6,94.8,99.2,87.2,100,NA,NA,NA,NA,50.7,64.3,100,38.2,14.3,NA,56.5,93.4,NA,100,NA,NA,35.9,77.7,NA,20.4,45.9,18.3,44.3,79,83.4,44.3,69.7,0,52.6,91.9,29,45.6,100,47.5,58.2,43.6,74.7,65.2,82.7,92.2,NA,NA,NA,NA,NA,82.9,87.8,76.4,NA,NA,90.5,57.7,91.6,83.7,41.9,88.4,20,71.9270499852911,37.8096161003232,46.3528193720269
"Rio de Janeiro","Normalizados",2020,65.0456698917135,100,85.4,45.9,59.4,15,36.4,99.4,94.6,18.8,55.6,37,56.4,46.6,81.3,20,NA,NA,NA,NA,NA,NA,32.9,92.5,97.5,96.1,56.8,82.2,100,NA,NA,NA,NA,49,71.1,49.5,33.7,25.5,NA,0,88.7,NA,100,NA,NA,46.2,54.7,NA,35.3,25.1,11.7,5.1,0,0,21.7,91.9,5.2,46.6,21.9,14.4,21.4,38.7,71.3,39.2,90.1,92.7,46.8,37.3,35.9,NA,NA,NA,NA,NA,87.7,74.9,18.3,NA,NA,73.8,43.4,64.4,51,53.1,9.6,8.5,62.3305713588775,56.058868013682,83.0923840419762
