"Estado","Tipo","Ano","AS_EM","AS_LC","AS_LX","AS_TE","AS_PA","AS_RL","AS_CS","AS_DM","AS_VD","AS_RD","AS_TR","CH_CM","CH_PA","CH_PT","CH_QT","ED_AE","ED_E1","ED_E2","ED_IO","ED_UF","ED_UM","ED_CI","EP_EJ","EP_EP","EP_JP","EP_LP","EP_IT","EP_QI","EP_PJ","EP_SG","EP_PS","EP_EG","EP_GE","IF_AT_FI","IF_QT","IF_CR","IF_CS","IF_DV","IF_EL_FI","IF_I1","IF_I2","IF_QR","IF_FO","IN_IF","IN_PF","IN_BC","IN_IN","IN_PC","PM_PB_TM","PM_PB_TX","PM_FT","SF_CI","SF_RO","SF_SF","SF_SO","SF_AU","SF_RP","SF_GP","SF_IL","SF_PC","SP_JC","SP_SC","SP_CC","SP_IH","SP_MT","SP_MO","SP_SG","SP_SP","SP_QI","SS_AM","SS_BE","SS_DS","SS_DS_AG","SS_DS_ES","SS_EV","SS_FM","SS_IE","SS_IH","SS_IJ","SS_MA","SS_MP","SS_SI","SS_DI","SS_OI","SS_CV","SS_ER","V1","V2","V3"
"Rio Grande do Norte","Normalizados",2020,65.9299363861362,51.2500049145379,44,29.9,49.3,13.8,11.1,0,89.3,100,0,80.1,31.5,5.6,36.1,100,NA,NA,NA,NA,NA,NA,81.7,62.6,77.1,78.2,82.3,86.4,100,NA,NA,NA,NA,22.5,83.4,61.4,63.3,2.5,NA,86.3,99.6,NA,41.9,NA,NA,30.7,57.1,NA,2.4,20.3,35.5,32.8,36,82.7,61.8,34.5,0.5,0,0,8.9,17.7,67.5,79.9,69.9,81.4,65.3,19.9,57.6,60.2,NA,NA,NA,NA,NA,76.3,50.1,29.3,NA,NA,80.8,26.3,79,62.3,15.6,48.2,77.4,36.9426139007881,29.4515969657467,26.7431719104157
"Rondônia","Normalizados",2020,22.3934333256547,0,65.5,0,31.9,37.6,30,82.9,84.8,26.1,66.7,77,8.3,4.7,14.4,0,NA,NA,NA,NA,NA,NA,90.3,57.6,71.4,73.4,92.1,96.8,100,NA,NA,NA,NA,23.4,65.9,56.8,79.3,0.7,NA,69.4,69.3,NA,77.5,NA,NA,13,81,NA,1.4,51.9,43,33.7,74.1,88.3,20.9,36.7,33.3,97.1,95.7,69.5,83.2,92.9,80,69.2,36.3,52.4,61.2,0,6.2,NA,NA,NA,NA,NA,49.2,34.4,68.7,NA,NA,80.1,70,61.7,47.9,63.9,80.8,85.2,26.4731502507347,44.8253280026815,81.9663744942064
"Roraima","Normalizados",2020,81.2160323802459,69.5062538209153,77.2,68.1,30,0,0,97.1,94.6,21.1,44.4,62.3,34.3,13.9,63.1,0,NA,NA,NA,NA,NA,NA,100,34.3,57,0,0,0,80.7,NA,NA,NA,NA,15.4,73.1,71,89.9,0,NA,67.7,0,NA,22,NA,NA,0,53,NA,0,66.3,100,11.3,35.7,92.5,0,0,100,96.8,79.4,68.7,51.4,71.8,0,0,47.8,0,44.3,70.4,0,NA,NA,NA,NA,NA,0,43,25.2,NA,NA,0,30.8,0,87.8,72.5,55.2,58.9,21.2874947569445,85.4219836602825,42.0234301581259
"Rio Grande do Sul","Normalizados",2020,65.5174348484273,50.3029987558664,79.2,22.9,71.3,100,79,94.9,96.4,15.2,0,53.4,32.5,24.3,52.1,50,NA,NA,NA,NA,NA,NA,28.7,99,100,98.3,94.5,91.8,88.9,NA,NA,NA,NA,61.4,79.3,61.5,0,10.2,NA,37.7,80.4,NA,82.8,NA,NA,49.3,95.7,NA,19.8,20.3,0,0,36.4,28.8,82.7,76.4,10.6,35.5,0,0,2.4,57,87.6,90.4,77,97.4,76.1,62.9,69.7,NA,NA,NA,NA,NA,100,85.5,78.4,NA,NA,97.4,76.3,100,100,53.9,87.7,13.3,64.0431879689882,38.6060611836722,73.9050182642395
"Santa Catarina","Normalizados",2020,64.5071387991392,58.4445352636541,93.9,27.1,86.6,90.7,84.5,94.4,99.1,34.7,0,54.4,42.3,22.8,57.7,70,NA,NA,NA,NA,NA,NA,72.8,86.9,94,95.4,84.5,99.3,100,NA,NA,NA,NA,53.8,91.3,76.9,46.6,8.9,NA,88.5,92.3,NA,100,NA,NA,44.4,100,NA,13.5,62,32.5,43.4,51.3,73.4,50.3,75.2,12.8,72.5,95.3,38.6,64.3,73.4,87.8,81.5,53.1,77.8,94,100,77.4,NA,NA,NA,NA,NA,84.9,100,100,NA,NA,100,80.7,96.9,96.1,65.5,100,29.3,64.0668127119449,44.889312733384,52.9457770750971
"Sergipe","Normalizados",2020,63.906380418647,48.9083456333916,0,22.7,60.7,28.4,26.4,81.3,92.9,49.4,0,86.3,9.2,3,14.9,10,NA,NA,NA,NA,NA,NA,79.9,40,73.4,69.8,75.2,81.8,84.8,NA,NA,NA,NA,26.2,94.7,64.5,44.1,1,NA,77.1,95,NA,71,NA,NA,35.9,24.9,NA,1.3,6.2,40.6,26.9,39.8,82.9,100,23.9,21.9,66.2,91.9,25.2,12.7,0,83.9,67.7,62,80.9,7.3,60.8,94.6,NA,NA,NA,NA,NA,58.8,24.7,10.9,NA,NA,68.8,26.5,37.9,24.7,0,40.1,45.2,28.8355552483644,41.5640956491626,58.6476339315429
"São Paulo","Normalizados",2020,65.8253910762172,94.1692447395139,91.2,77.1,85.7,38.4,71.5,99.9,97.3,6.4,100,34.7,54.1,40.6,76.2,100,NA,NA,NA,NA,NA,NA,0,100,99.8,100,92.1,80.1,73,NA,NA,NA,NA,100,42.9,95.1,80.8,100,NA,82.9,91.4,NA,90.4,NA,NA,52.9,35.5,NA,100,19.4,24,35.6,53.6,45.1,72.9,100,7.9,79.3,70.4,20.2,79.1,82.6,75.8,36.4,86.7,76.8,100,63,68.4,NA,NA,NA,NA,NA,91.2,91.5,43.6,NA,NA,88.8,100,88.9,90,44.4,70.2,0,79.6009379376642,45.1237957704456,40.1673452929429
"Tocantins","Normalizados",2020,54.7670583988399,49.2391547803664,49.4,25.6,86.8,5.9,0.3,81.2,39.3,16.8,11.1,80.3,30.8,6.7,34.1,70,NA,NA,NA,NA,NA,NA,38.4,45.8,51.2,59.9,40.3,83.6,41.3,NA,NA,NA,NA,19.2,88.9,62.9,43.6,0.9,NA,36.7,99.2,NA,30.2,NA,NA,0.4,73.4,NA,1.1,55.7,52.6,41.6,64.6,82.6,61.4,21.9,26.9,35.6,0,24.1,22.1,41.9,76.2,71.1,3.1,54.2,46,86.7,29.4,NA,NA,NA,NA,NA,56.6,47.9,59.8,NA,NA,74.7,38.2,77.1,41.6,48.5,88.9,35.6,34.0543745365877,31.8921261847164,29.7406661224561
"Acre","Normalizados",2021,0,NA,NA,NA,NA,NA,NA,94.1,NA,NA,62.5,77.4,34.3,4.1,25.5,0,NA,NA,18,53.5,48.2,71,NA,42.1,25.8,42.5,NA,64.2,NA,39.6,20.9,73.5,51.7,10.1,89.8,0,NA,0.2,NA,57.2,56.9,0,70.3,NA,0,23.9,0,NA,0.1,31,86.6,25.6,29.8,71.1,78.6,3.8,60,45.3,98.7,22.2,80.5,66.7,87.5,NA,NA,51.4,71,59.6,NA,NA,26.5,49.1,NA,NA,NA,39.8,34.6,NA,12.9,NA,NA,NA,43.1,39.5,17,NA,18.9445736751175,53.316178270599,49.1560323572916
"Alagoas","Normalizados",2021,65.7,NA,NA,NA,NA,NA,NA,92.7,NA,NA,37.5,93.2,12.1,5.9,7.8,70,NA,NA,16,52.7,52.1,67,NA,66,53.7,76.9,NA,68.6,NA,54.7,37.2,0,1.4,8.9,100,64.6,NA,3.6,NA,48.9,61.4,82,95.2,NA,10.4,39.4,25.6,NA,2,39.4,31.3,100,100,73.2,37.1,37.1,0,88.5,91.3,84.8,32.3,66.5,0,NA,NA,85.9,47.9,84.3,NA,NA,42.1,53.4,NA,NA,NA,37.3,8.7,NA,3.4,NA,NA,NA,54.3,23.6,58,NA,36.7309414577595,26.3502600898809,29.7988570206223
"Amazonas","Normalizados",2021,81.4,NA,NA,NA,NA,NA,NA,98.5,NA,NA,75,88.9,17.7,18.2,29.2,50,NA,NA,20,59.5,62.3,64.2,NA,90.1,76.8,77.9,NA,94.6,NA,51.4,64.7,55.8,69.3,13.5,0,86,NA,6.8,NA,42,91.8,15.3,10.3,NA,23,100,67.1,NA,4.3,100,84.6,32.4,30.4,80.4,79.3,62.7,17.5,80.7,99.1,8.5,8.9,65.4,75.2,NA,NA,99.9,31.9,8.3,NA,NA,52.8,47.8,NA,NA,NA,4.6,29.9,NA,30.5,NA,NA,NA,54.3,62,59.5,NA,38.0416064034116,25.3235071538532,79.0869411421716
"Amapá","Normalizados",2021,100,NA,NA,NA,NA,NA,NA,100,NA,NA,37.5,75.2,34.9,7,50.2,50,NA,NA,27,58.4,0,0,NA,0,0.9,46.2,NA,29.8,NA,78.3,0,92.5,23.9,12.2,15,86.5,NA,0.3,NA,96.8,70.4,37.2,28.5,NA,0,9.8,32.7,NA,0.1,59,100,5.7,10.8,100,46.6,0,70.9,63.7,82.5,100,15.5,67.4,96.9,NA,NA,89.9,0,6.2,NA,NA,56.4,61.5,NA,NA,NA,30.1,34.8,NA,28,NA,NA,NA,56.4,56.7,0,NA,15.9151152673392,63.8185762823716,17.7724158685859
"Bahia","Normalizados",2021,63.9,NA,NA,NA,NA,NA,NA,86.2,NA,NA,0,96.3,0.4,7.3,6.3,70,NA,NA,23,37.1,39,68.2,NA,90.9,73.4,87.3,NA,91.6,NA,95.9,39.3,88.9,69.9,19,43.9,74.8,NA,18.4,NA,53.5,89.5,60.7,81.6,NA,25.3,60.8,13.4,NA,11.8,13.2,20.1,41.7,34.8,73.2,84.8,61,41.6,82.2,100,52.5,4.5,43.4,91.6,NA,NA,65,19.3,57.7,NA,NA,34.3,36,NA,NA,NA,17.9,0,NA,29.4,NA,NA,NA,33.6,41.5,26.3,NA,39.1030161541155,17.9568477436809,59.572356761203
"Ceará","Normalizados",2021,66.2,NA,NA,NA,NA,NA,NA,86.6,NA,NA,87.5,91.2,9.4,2.3,17.7,100,NA,NA,2,76.3,87.1,94.9,NA,82.7,78.5,85.5,NA,65.4,NA,54.7,27,35.4,0,28.7,75.4,63.9,NA,8.7,NA,53,81.6,57.7,92.9,NA,36.2,57.2,24.8,NA,6.5,42.2,30,58.4,40.8,70.4,65.6,51.2,25.5,87.1,91.8,45.8,16.1,53.3,66.6,NA,NA,39.3,36.6,53.6,NA,NA,41.3,19.9,NA,NA,NA,21.4,48.7,NA,16.9,NA,NA,NA,53.6,0,56.5,NA,48.5877167091363,14.4974418253724,38.4399170199465
"Distrito Federal","Normalizados",2021,66.5,NA,NA,NA,NA,NA,NA,99.9,NA,NA,50,0,100,100,100,80,NA,NA,5,71.6,91.8,73.4,NA,75,0,92.2,NA,75.1,NA,0,30.1,70.3,36,59.3,72.2,66.7,NA,23.1,NA,76.8,73.4,78.9,100,NA,21.6,53.6,46.4,NA,10.9,14.3,52.4,3.2,9.6,81.2,50.4,78.2,20.9,83.6,83.2,14.7,100,98.3,31.9,NA,NA,68.1,92.7,28.2,NA,NA,86.2,4.3,NA,NA,NA,86,36.9,NA,70.1,NA,NA,NA,93.8,100,82.1,NA,64.3564084753764,76.436891686228,15.5865488903835
"Espírito Santo","Normalizados",2021,62,NA,NA,NA,NA,NA,NA,99.6,NA,NA,0,68.1,21.8,17.4,35.2,100,NA,NA,8,74.2,63.3,82.4,NA,94.1,78,93.5,NA,93.1,NA,82.1,66.4,17.3,49.9,36.8,68.2,81.5,NA,4.8,NA,45.4,92.3,64.3,74.8,NA,31.1,38.5,27.9,NA,5.3,0,39.2,54.1,50.5,90.9,32.2,53.8,29.9,100,99.1,88.4,45.4,58.6,54.2,NA,NA,22.4,55.6,26.7,NA,NA,78.8,65.2,NA,NA,NA,63,52.1,NA,51.5,NA,NA,NA,65.2,65.6,87.7,NA,52.7493368667538,18.949102263243,40.1203288403131
"Goiás","Normalizados",2021,64.6,NA,NA,NA,NA,NA,NA,90.7,NA,NA,100,68.5,25.8,10.4,38.1,100,NA,NA,7,68.9,92.9,62,NA,64.1,56.3,79.8,NA,93.2,NA,79.9,39.3,69.2,97.5,38.8,68.6,70,NA,4.4,NA,36.2,72.1,57.5,54.1,NA,19.7,52.4,19.9,NA,8.7,55.5,54.6,44.1,43.2,69.6,58.2,74.7,16.6,68.8,95.9,50.9,48.4,62.2,70.2,NA,NA,22.9,60.3,82,NA,NA,89.7,80.7,NA,NA,NA,58.6,53.9,NA,67.5,NA,NA,NA,56.4,59.3,62.6,NA,46.416070437782,27.5171054849073,31.8221518649517
"Maranhão","Normalizados",2021,56.8,NA,NA,NA,NA,NA,NA,89.2,NA,NA,37.5,100,0,0.3,10,70,NA,NA,26,68.8,66.4,73.1,NA,67.9,52.6,79.3,NA,60.8,NA,43.4,32.9,27.4,65.5,0,35.7,80.4,NA,2.4,NA,55.5,65.2,40.2,63.8,NA,17.5,66,0,NA,3.7,51.1,43.5,76.3,58.5,71.7,63.6,24.1,9.4,82.2,0,36.9,9.4,53.6,93.1,NA,NA,79,55.6,30.1,NA,NA,0,46,NA,NA,NA,2.6,28.8,NA,0,NA,NA,NA,0,34.3,23.1,NA,30.8248768552777,22.13017026665,43.0013984310574
"Minas Gerais","Normalizados",2021,64.1,NA,NA,NA,NA,NA,NA,90.3,NA,NA,75,74,26,15.7,31.5,100,NA,NA,3,100,81.4,76.2,NA,87.2,79.6,94.3,NA,56.3,NA,91.2,63.4,73.3,55.5,42.3,63.4,74.9,NA,21.7,NA,32.9,87.6,51.8,63.4,NA,60.9,73,46.9,NA,28.7,46.5,14.9,23.9,43.4,13.4,61.5,79.9,36.4,43.3,0,7,0,58.8,68.5,NA,NA,55.7,92.2,100,NA,NA,87.3,68.3,NA,NA,NA,63.4,53.5,NA,55.4,NA,NA,NA,58.1,57.7,85.1,NA,56.958783362436,17.9787617974651,51.0741746332938
"Mato Grosso do Sul","Normalizados",2021,65,NA,NA,NA,NA,NA,NA,83.2,NA,NA,37.5,61.8,34.5,25.9,36.2,20,NA,NA,13,75.3,61.4,65.6,NA,76.6,69.8,88.1,NA,90.9,NA,56.3,38.3,69.9,86.8,30,84.4,83.3,NA,2.2,NA,36.6,90.6,67.1,85.5,NA,6.8,49.1,90.9,NA,4.1,38.3,42.8,58.4,43.5,80.8,49,60.1,37.8,58.2,94.2,61.4,66.7,82.4,42.8,NA,NA,17.5,71.9,94.9,NA,NA,94.4,61.5,NA,NA,NA,71.4,72.3,NA,68.2,NA,NA,NA,79,69.9,62.8,NA,46.3964743110995,41.7306145349645,65.6113440242417
"Mato Grosso","Normalizados",2021,46,NA,NA,NA,NA,NA,NA,93.1,NA,NA,100,65,28.9,24.7,30.5,20,NA,NA,10,66.4,78.1,73.8,NA,77.2,72.2,80.9,NA,69.3,NA,61,27.3,37.6,49.5,37.5,84.3,72.6,NA,6.3,NA,20.7,89.9,64.6,91.9,NA,15.6,35.4,32.1,NA,5.6,77.8,47.5,41.3,44.2,98.6,46.1,72,46.7,78.9,97.1,96.5,45.2,59.5,92.2,NA,NA,55.9,62.8,86.8,NA,NA,91.7,77.6,NA,NA,NA,62.8,73.7,NA,65.8,NA,NA,NA,51.7,63,76.5,NA,45.8408327461253,38.220501652521,66.2081590902694
"Pará","Normalizados",2021,37.1,NA,NA,NA,NA,NA,NA,96,NA,NA,87.5,89.2,5,6.5,5.9,100,NA,NA,25,67.2,39.1,70.6,NA,86.4,81.3,83.3,NA,81.7,NA,54.4,26,100,56,5,20.6,57.3,NA,9.5,NA,21.8,91.4,39.1,58,NA,14.8,49.4,19.6,NA,7.4,40.7,61.4,80.5,37,89.8,88.4,51.7,13.2,73.9,92.5,27.5,10.9,63.3,77.6,NA,NA,69,45.6,26.8,NA,NA,61.6,41,NA,NA,NA,0,69,NA,28.4,NA,NA,NA,46.9,54.5,15.7,NA,35.9017394980887,9.51631632864745,54.5724167652924
"Paraíba","Normalizados",2021,65.5,NA,NA,NA,NA,NA,NA,24.4,NA,NA,50,90.2,16.9,2,3.2,30,NA,NA,17,68.8,50.6,64.2,NA,77.5,32.5,78.7,NA,87.7,NA,79.9,47.2,32.2,30,33.3,81.8,87.9,NA,2.5,NA,62.9,96.6,58.2,53.8,NA,33.6,77.8,21.2,NA,2.3,7.9,26.9,18.9,25.8,91.9,39.6,30,46.2,54.3,95.2,64,27.4,79.4,87.1,NA,NA,45.4,54.8,84.2,NA,NA,42.4,0,NA,NA,NA,26.2,37.9,NA,11.3,NA,NA,NA,61.7,25,45,NA,37.2788486909845,28.5945634704589,54.6452341723971
"Pernambuco","Normalizados",2021,65.9,NA,NA,NA,NA,NA,NA,88.4,NA,NA,50,90,11,10.4,14.7,80,NA,NA,14,53.6,70,70.1,NA,83.7,63.6,86.3,NA,94,NA,70.1,21.9,60.1,34,21.2,66.3,73.2,NA,20.4,NA,57.9,87.6,45.4,70.8,NA,20.6,95.8,44.4,NA,8.3,59.6,34.2,12.1,19.7,74.1,83.9,57.4,34,69.3,68.4,18.5,29.8,67.9,30.5,NA,NA,87.8,41.3,52,NA,NA,22.1,11.2,NA,NA,NA,26.6,21.7,NA,16.4,NA,NA,NA,53.1,26.4,45.8,NA,43.0797039796727,20.0036789669606,49.142319340012
"Piauí","Normalizados",2021,63.2,NA,NA,NA,NA,NA,NA,85,NA,NA,0,96.5,12.9,0,0,80,NA,NA,15,75,56.9,100,NA,15,55.6,65.3,NA,65.8,NA,34.6,16.3,45.3,62.2,16,81.9,59.1,NA,1.2,NA,56.5,74.5,66.6,0,NA,2.3,28.7,61,NA,1.7,32.4,18.2,69.5,17.2,69.2,48.5,25.7,8.1,77,84.2,31.8,17.8,35,63.1,NA,NA,0,65.3,33.1,NA,NA,62.5,19.9,NA,NA,NA,11.1,51.1,NA,37,NA,NA,NA,33.3,42.5,65.4,NA,28.1282668743253,25.8147225935636,14.2477617389542
"Paraná","Normalizados",2021,64.6,NA,NA,NA,NA,NA,NA,97.8,NA,NA,37.5,56.3,43.3,26.8,49.2,100,NA,NA,6,85.3,86.5,61.2,NA,99.9,99.4,95.3,NA,89.6,NA,94.8,56,72,79.7,50.3,39.2,100,NA,13.4,NA,47.8,90.3,66.9,100,NA,66.1,47.2,76.6,NA,20.1,44.1,20.2,24.5,46.8,80.4,34.2,70.6,27.2,65.9,98.3,64.1,55.4,100,64.7,NA,NA,65.3,71.9,87.3,NA,NA,90.7,70.8,NA,NA,NA,82.4,76.4,NA,77.7,NA,NA,NA,88.8,34.9,92.4,NA,64.4072013831622,27.3266562444412,58.9740287888375
"Rio de Janeiro","Normalizados",2021,65,NA,NA,NA,NA,NA,NA,99.9,NA,NA,50,42.1,56.4,43.3,72.5,50,NA,NA,11,56.8,71.7,63.8,NA,90.2,87.5,93.6,NA,88.2,NA,57.1,64.3,83.2,35.6,45.2,49,59.6,NA,24.9,NA,0,87.6,57.8,100,NA,49.5,72.8,52.5,NA,33.4,23.6,13.7,0,0,0,23.4,93.8,45.2,75.7,84.3,64.8,16.5,67,61.7,NA,NA,84.2,57.8,37.7,NA,NA,62.1,28,NA,NA,NA,68.5,18.3,NA,46.6,NA,NA,NA,52.9,58.5,7.3,NA,60.2982271050942,41.6729612300776,79.4458390113309
"Rio Grande do Norte","Normalizados",2021,65.9,NA,NA,NA,NA,NA,NA,0,NA,NA,50,83.1,29,4.6,26.1,80,NA,NA,21,67.9,43.2,81.8,NA,67.7,51.2,79,NA,70.3,NA,54.7,21.9,7,90.9,24.4,88.1,56,NA,3.5,NA,73.7,100,50.8,51,NA,64.2,43.4,56.4,NA,2.4,15.8,37.6,4,8.2,74.8,74.6,34.6,19.3,0,0,0,18.2,77.9,72.2,NA,NA,49.7,46.5,43.9,NA,NA,65.5,9.9,NA,NA,NA,45.9,29.3,NA,36.1,NA,NA,NA,62.6,19.5,53.4,NA,42.0420721135182,26.3779849824707,31.8928247125044
"Rondônia","Normalizados",2021,22.4,NA,NA,NA,NA,NA,NA,91.9,NA,NA,62.5,78.4,9.9,8.5,16.6,0,NA,NA,12,58.6,65.6,33.7,NA,60.8,30.5,73,NA,75.1,NA,47.3,40.5,72.8,47.5,18.7,79.2,61.8,NA,0.9,NA,84.8,65.9,43.7,78,NA,5.3,19.1,94.8,NA,1.4,41.4,46.8,12.2,35.2,92.9,28.1,37.7,40.3,80.1,92.1,71,57.7,93.7,87.4,NA,NA,6.3,62.7,0,NA,NA,77.4,95,NA,NA,NA,38.3,68.7,NA,50.8,NA,NA,NA,67.9,65.4,68.6,NA,28.5397806601107,53.1209003455934,57.4062488932367
"Roraima","Normalizados",2021,81.2,NA,NA,NA,NA,NA,NA,98.9,NA,NA,0,74.6,38.1,13.5,54.9,0,NA,NA,24,0,43.3,36.9,NA,34.1,11.2,0,NA,0,NA,39.6,17.8,61.7,100,10.3,71.1,73.5,NA,0,NA,100,0,66.5,78.2,NA,8.6,0,43.9,NA,0,82.4,98,6.3,21.5,91.9,0,4.1,100,81.8,80.7,63.4,33.9,83.5,74.3,NA,NA,51.7,39.7,51.8,NA,NA,54.9,21.1,NA,NA,NA,36.6,25.2,NA,34.1,NA,NA,NA,87.9,84.8,6.3,NA,18.2652037692002,85.4890161659158,25.1995705151303
"Rio Grande do Sul","Normalizados",2021,65.5,NA,NA,NA,NA,NA,NA,96.5,NA,NA,37.5,52,35.5,26.8,50.7,30,NA,NA,9,78,73.5,76.6,NA,96.3,100,98.6,NA,84.4,NA,100,69.6,63.7,40.1,51.5,52.3,65.6,NA,12,NA,27.3,77.1,51.9,85.9,NA,100,75.4,100,NA,20.3,34.3,0,0.2,39,7.4,84.5,78.6,25.8,61.9,0,23.6,9.6,64.6,90,NA,NA,100,82.5,68.5,NA,NA,100,70.2,NA,NA,NA,85.6,78.4,NA,74.3,NA,NA,NA,100,55.8,74.4,NA,62.216024700593,36.1781218902652,96.6112073798339
"Santa Catarina","Normalizados",2021,64.5,NA,NA,NA,NA,NA,NA,98.1,NA,NA,37.5,51,39.7,26.1,51.9,100,NA,NA,4,72.8,89.4,92.6,NA,86.6,86.1,96,NA,94.8,NA,88.7,46.5,62.8,97.1,53.7,73.1,86,NA,10.1,NA,72.8,85.4,49.4,100,NA,70,68.7,93.8,NA,13.8,87.2,35.8,30,37.4,66.4,55.9,74.2,25,61.5,99.8,38.6,51.4,81.2,83.6,NA,NA,60.4,95,99.4,NA,NA,96.1,100,NA,NA,NA,100,100,NA,100,NA,NA,NA,92.4,68.2,100,NA,64.8233300005858,30.4160200970623,48.9587158439709
"Sergipe","Normalizados",2021,63.9,NA,NA,NA,NA,NA,NA,86.3,NA,NA,0,87.7,6.6,3.9,5.6,20,NA,NA,22,89,43.3,73.7,NA,36.5,41.1,72.3,NA,85.8,NA,58.2,44.1,75.2,35.6,20.9,79.4,69,NA,1.4,NA,66.2,90.3,39.7,80.4,NA,31.4,76.6,24.5,NA,1.3,5.4,44.2,18.5,14.7,77.1,100,22.9,43.7,60.4,90.3,21.6,22.4,0,73.4,NA,NA,69.8,43.4,65,NA,NA,55,11.2,NA,NA,NA,21.6,10.9,NA,13.5,NA,NA,NA,41.7,4.6,62.1,NA,31.9929410863549,33.7479617074942,55.469434866937
"São Paulo","Normalizados",2021,65.8,NA,NA,NA,NA,NA,NA,100,NA,NA,87.5,42.6,55.9,40.9,71.3,100,NA,NA,1,93.3,100,76,NA,100,97.6,100,NA,63.3,NA,71.7,100,92.8,58.7,100,31.1,97.7,NA,100,NA,66.4,87.7,100,92.9,NA,73.8,78.7,37.5,NA,100,25.3,26.8,23.1,50,32.8,86.5,100,28.8,89.7,67.9,31.5,68.1,88.2,72.3,NA,NA,63.1,100,57.9,NA,NA,85.3,32.3,NA,NA,NA,88.9,43.6,NA,58.5,NA,NA,NA,96.2,69.2,65.3,NA,80.0998529505941,37.2873971343253,58.1750786111375
"Tocantins","Normalizados",2021,54.8,NA,NA,NA,NA,NA,NA,93.1,NA,NA,0,75.7,32.4,8.9,33.2,100,NA,NA,19,65.2,87.3,39.2,NA,46.3,1.7,63.3,NA,100,NA,60.7,43.9,86.9,22.6,14.6,79.7,67.3,NA,0.5,NA,35,97,58,44.7,NA,9.5,16.2,71.3,NA,1.1,64,57.4,28.6,21.3,81.6,63.6,22.6,27,46.1,71.2,32.1,22.4,57,100,NA,NA,21,64.3,93.9,NA,NA,74.1,41.6,NA,NA,NA,47.7,59.8,NA,46.4,NA,NA,NA,31.4,62.3,92.5,NA,35.9119270983126,37.3081693657412,12.5258519723798
