"","mds_1","mds_2","mds_3","mds_4"
"AS_EM",0.00707118264816353,0.854734699865001,2.96181302086307e-05,0.175578491198026
"AS_LC",3.35392693506797e-06,0.00234809196338315,0.000776080006138269,0.00136222048193146
"AS_LX",1.33595086104776e-08,0.0274426679474919,0.993522889740649,0.0075276807574951
"AS_TE",5.89266924144738e-09,5.82041798313782e-07,0.000218901264210869,0.0127002337630833
"AS_PA",3.99680288865056e-15,0.000216667875657217,0.93723020546422,0.409340079094894
"AS_RL",0.20826451526495,7.99601296219699e-05,4.56452482477943e-08,1.32560629140244e-13
"AS_CS",0.00644026049603053,0.00204881088770348,0.0302942861202629,0.788835878968237
"AS_DM",0.57805318739561,0.126619800594538,8.7572615825593e-11,0.0341394553129046
"AS_VD",0.485027792017934,0.243933429923183,0,0.0587181888398205
"AS_RD",0.242378817733153,0.34539224810496,0.870723346715585,3.25627407038453e-06
"AS_TR",0.00160914803501755,0.258614714595701,0.307856164125933,0.387563471395726
"AS_PV",0.603184774248341,2.25680389931426e-07,0.527827518025877,0.0102841545900125
"AS_VN",0.0336536567469503,2.31196630728903e-08,0.400120896563132,0.940732270788605
"CH_CM",0,1.3144596522352e-10,0.257635978309614,0.0408838093670139
"CH_PA",2.39808173319034e-14,1.96287430753728e-13,0.139026421071361,0.00337962189712115
"CH_PT",0,2.77803363424312e-07,0.338301963773326,0.0141200650500104
"CH_QT",0,2.50022225145585e-12,0.039418766827378,0.0122419778986287
"CH_FM",0,0.00124571208165869,0.668557640524124,0.578372472817474
"CH_IE",1.15893961094571e-11,0.0221136882851614,3.75019060250281e-09,8.47597547704027e-11
"CH_IJ",0,6.3331377768705e-06,0.0480815526278451,0.0119381558262455
"CH_DL",0.253028470875002,0.203159623781233,0.000323239609606674,0.00739533268928749
"CH_SB",0.139827468712853,0.0383150094578291,0.436237597299745,0.0374683563882989
"ED_AE",0.00476915641103526,4.46170944634616e-08,0.0838545893578748,0.151663330520608
"ED_E1",8.52831835196355e-06,0.48281863009435,0.028625004063022,0.775201896796681
"ED_E2",0,0.263949367604815,0.1072038807412,0.143502575462234
"ED_IO",1.47593492982878e-10,0.392897057411584,0.323588538222853,0.22646837257247
"ED_UF",1.35645092713688e-06,0.258830435033315,0.0440411974915942,0.308730679627455
"ED_UM",1.87183601951801e-12,1.09062193136555e-05,0.73574541913698,0.443267230122586
"ED_CI",7.03743729957296e-11,6.3069551574646e-06,0.400680101182697,0.313469235867815
"EP_EJ",0.0015957996003686,0.00148913645908788,0.00302657947161,1.89373263737025e-08
"EP_EP",2.22044604925031e-16,8.49695809268525e-08,0.0258569133947473,0.519779635467022
"EP_JP",4.13630241169471e-10,3.10862446895044e-15,0.0675230298987184,0.00105212846492586
"EP_LP",0,2.66786592817425e-12,0.121544885484734,0.784616416141102
"EP_IT",9.34407897723588e-08,0.104537528577695,0.207704119299948,0.419011295535327
"EP_QI",0.302063055555444,0.000184332722152014,0.582031424699843,0.000332098782752865
"EP_PJ",0.97499578752642,2.67041453128058e-06,4.94846386089876e-10,5.0774357827077e-06
"EP_SG",0.142378202054918,0.00116225804932757,9.1350293551784e-08,0.184571031232478
"EP_PS",1.44627625431326e-08,7.64218570268316e-05,0.0204484729866357,0.0046870548811917
"EP_EG",0.213158692270004,5.20381244957235e-05,1.15737288641782e-07,0.0107840486542283
"EP_GE",0.0021729566676818,0.830688199966685,4.18339871788298e-06,0.114786582692665
"IF_AT_FI",0,0.00459723976211723,0.271377247608703,0.531331251463599
"IF_QT",5.29612715904904e-06,0.209719378187774,0.0530930235881206,0.198727645472825
"IF_CR",4.1983294618575e-09,0.404030700656186,0.0617695171642283,0.0502836333069157
"IF_CS",0.00077763950490084,0.909084047067138,0.627976595144872,0.00011733134022518
"IF_DV",0,0.493418376520849,4.85753382406529e-06,0.0916824178642333
"IF_EL_FI",6.34696739609808e-11,0.27196961832744,0.00671922969117045,0.48228609451579
"IF_I1",0.0412470763487121,3.87440875400102e-05,0.549927440976468,0.109267914244728
"IF_I2",5.27499936784359e-05,2.1138646388863e-13,0.603501979858837,0.389995772673204
"IF_QR",3.33066907387547e-15,0.550234920871682,0.199449069992914,0.649289145010852
"IF_FO",7.18953732103955e-08,0.277162666967084,0.673563148515267,0.883702310976832
"IN_IF",0.37538544697059,0.460942442637735,0.0799802376046919,0.636606407240085
"IN_PF",0,0.230281933611879,0.0491924734555718,0.451133801896369
"IN_BC",1.07900820751627e-05,2.35743858518767e-05,0.126401785811773,0.0152471980936348
"IN_IN",5.23261539475683e-06,0.0117482074192008,0.839824907650466,0.000120983486536996
"IN_PC",0.601744190012765,0.626433247187726,0.576733440757138,3.93481515370553e-06
"IN_TC",2.64690735551909e-07,0.104776700097687,1.83252497620856e-08,0.315123288993044
"IN_AC",0.874670160079151,0.605866089506637,0.446996005127386,0.109356771636388
"PM_PB_TM",0,0.312293539223775,1.32130493168958e-05,0.383857138695214
"PM_PB_TX",0.586096823544022,7.3445630144775e-05,0.000607408238455953,3.89245024772222e-05
"PM_FT",3.10862446895044e-15,2.44249065417534e-15,0.940880523031282,0.511157953705744
"PM_CR",0.569207534032978,0.0411761559048758,0.126975880217469,0.0229980805210377
"PM_QC",0.667774699624582,0.923640818840411,0.00712842275842807,0.00137626008087466
"PM_VC",0.0727703192989135,0.931406513999028,1.42417633242076e-10,0.815763628844692
"PM_IN",0.0276786440336898,0.122139580820365,3.56925111688611e-09,0.356351732216645
"SF_CI",0.0023735280044932,4.63758986768426e-09,0.0984721732987257,0.00239317392965122
"SF_RO",0.165733248003282,6.6721805991321e-07,0.00120569350440247,2.18199121557738e-05
"SF_SF",1.73194791841524e-14,0.0515884700674545,0.00905632721214999,0.0324822868361194
"SF_SO",0.174389060617072,1.31795596658435e-09,0.227515835414145,0.538179323604361
"SF_AU",0,0.080013849592401,0.0885625836676711,0.493951976507334
"SF_RP",0.00336679769492365,3.24240063687142e-08,0.745839028038122,0.0211798596801773
"SF_GP",0.00895740646556686,0.509992746899119,0.0118213047530205,0.85632103507324
"SF_IL",0.859716077151747,0.366212145551338,0.0127284515661137,0.132361051133137
"SF_PC",0.000200614544183075,0.00629131988827591,0.0770371923739614,0.223740351427515
"SP_JC",1.07658054120385e-05,3.46635609105306e-10,0.173881501213597,0.989291287749362
"SP_SC",0.000479926328651681,1.24098506137926e-07,0.472243228793949,0.11942587920415
"SP_CC",0.0863373511504779,0.158157466469601,0.640749830023004,0.00159713412063089
"SP_IH",0.162977060638479,0.163604830097567,0.126828209792789,0.109312645939211
"SP_MT",0.235295388667453,0.27848508138321,0.000708579935680742,6.00852700927135e-13
"SP_MO",0.0622116812732818,2.97675211458071e-06,0.260627144659263,0.940069685070877
"SP_SG",0,0.0246058251446528,0.356498782147655,0.101594892755935
"SP_SP",0.0233532989629739,0.0139698691892471,0.00197441416123834,0.36486302750597
"SP_QI",0.417267465806405,0.00346927162123234,0.0594271080207038,5.50670620214078e-14
"SP_VS",5.56611139945762e-05,0.390818516642133,8.55130899366507e-05,0.0144935428098703
"SS_AM",0.123197766325403,0.289338436018736,0.0408086821872238,0.000570114404022659
"SS_BE",0,2.99831341266099e-06,0.0532781016971233,0.0515090501126685
"SS_DS",1.80466436239257e-07,0.714702377038152,0.142223340181009,0.000210440712877791
"SS_DS_AG",2.32702745961433e-13,0.267092744383729,0.0427180794443474,0.183970716139835
"SS_DS_ES",1.43662859386495e-13,0.796665448173389,0.000391557819989563,0.000125320102709825
"SS_EV",0,6.54108893938243e-07,0.42288089873548,0.793512191985114
"SS_FM",0,0.00859064799742026,0.454910350017808,0.892030477899458
"SS_IE",4.37516689544282e-11,0.0689009065684849,7.86481990644461e-10,5.41608091708667e-10
"SS_IH",1.37667655053519e-13,2.88130504122464e-05,0.907826154239225,0.29520720273846
"SS_IJ",0,0.00124482936936432,0.028011336810394,0.0521449576781419
"SS_MA",5.8447313655563e-10,0.0657001612220949,0.567482704620853,0.454952834624656
"SS_MP",5.32907051820075e-15,0.040431834170858,0.920742057944645,0.000507692220219624
"SS_SI",0,0.000827486774571451,0.301111769248968,0.299167874075458
"SS_DI",1.24567023362943e-12,0.250743442749478,0.000179410196594176,0.871935472018002
"SS_OI",0.00710204965183481,1.88630554287528e-07,0.00470306803160869,0.11111090437957
"SS_CV",1.08910487739422e-07,0.319743047632614,0.37856489877319,0.879437823949836
"SS_ER",2.26560685767652e-08,0.00329438699270002,0.591907506301867,5.87800434992403e-08
"SS_TI",0.653076445043124,0.00866535918990685,0.000125385959607538,0.570815806368421
"SS_TE",0.000371124791518351,0.0020896428085746,0.0441105365325258,0.674758091651711
"X",NA,0.999976292357085,0.999996011058273,0.999985578597572
"X.1",0.999976292357085,NA,0.999987736153094,0.999978049192155
"X.2",0.999996011058273,0.999987736153094,NA,0.999986147406154
"X.3",0.999985578597572,0.999978049192155,0.999986147406154,NA
