"Estado","Ano","mds_1","mds_2","mds_3","AS_EM","AS_LC","AS_LX","AS_TE","AS_PA","AS_RL","AS_CS","AS_DM","AS_VD","AS_RD","AS_TR","CH_CM","CH_PA","CH_PT","CH_QT","CH_FM","CH_IE","CH_IJ","CH_DL","CH_SB","ED_AE","ED_E1","ED_E2","ED_IO","ED_UF","ED_UM","ED_CI","EP_EJ","EP_EP","EP_JP","EP_LP","EP_IT","EP_QI","EP_PJ","EP_SG","EP_PS","EP_EG","EP_GE","IF_AT_FI","IF_QT","IF_CR","IF_CS","IF_DV","IF_EL_FI","IF_I1","IF_I2","IF_QR","IF_FO","n_mds_1","n_mds_2","n_mds_3"
"Tocantins",2020,-29.2128468017024,19.5631616731003,21.3237427826758,54.7670583988399,49.2391547803664,49.4,25.6,86.8,5.9,0.3,81.2,39.3,16.8,11.1,80.3,30.8,6.7,34.1,47.9,59.8,46.4,15,53.9,70,51.3,39.7,14,63.8,56.1,67.3,38.4,45.8,51.2,59.9,40.3,83.6,41.3,71.7,29,62.8,27,19.2,88.9,62.9,43.6,0.9,79.3,36.7,99.2,42.9,30.2,36.9959747110262,72.0494948439768,60.1939606908316
"Acre",2021,-102.944697749427,-86.8250535930702,-26.6466171780172,0,35.2,26.8,7.8,49.3,29.4,14.1,94.1,99.3,54.6,62.5,77.4,34.3,4.1,25.5,39.8,32.1,12.9,21.5,16.9,0,42.1,44.6,18,53.5,48.2,71,90.3,42.1,25.8,42.5,44.6,64.2,100,39.6,20.9,73.5,51.7,10.1,89.8,0,56.1,0.2,0,57.2,56.9,0,70.3,16.1331072916442,35.7817915809352,38.6932741279462
"Alagoas",2021,-12.2752895187279,11.1711752181094,45.5534447747658,65.7,54,50.1,35.1,86.8,5.7,40.9,92.7,96.4,19,37.5,93.2,12.1,5.9,7.8,37.3,15,3.4,88,99.6,70,65,58.4,16,52.7,52.1,67,67.6,66,53.7,76.9,15.3,68.6,14.7,54.7,37.2,0,1.4,8.9,100,64.6,33.7,3.6,99.1,48.9,61.4,82,95.2,41.7885576648086,69.1886697631574,71.0539006302217
"Amazonas",2021,-54.4814132158212,-2.90827496821425,-23.1905375307751,81.4,59,71,41.6,49.3,29.4,0,98.5,66.1,16.4,75,88.9,17.7,18.2,29.2,4.6,34.1,30.5,100,47.9,50,10,41.5,20,59.5,62.3,64.2,49.9,90.1,76.8,77.9,41.9,94.6,67.9,51.4,64.7,55.8,69.3,13.5,0,86,73.9,6.8,59.5,42,91.8,15.3,10.3,29.8460829858154,64.3889903984193,40.2423157714237
"Amapá",2021,-118.294347924208,-80.7721714979595,-5.11104263007841,100,51.8,27.6,32.6,28.8,13.8,25.2,100,84.8,54.9,37.5,75.2,34.9,7,50.2,30.1,22.1,28,53.7,51.1,50,2.4,15.2,27,58.4,0,0,95.5,0,0.9,46.2,31.5,29.8,35.1,78.3,0,92.5,23.9,12.2,15,86.5,79.5,0.3,82.1,96.8,70.4,37.2,28.5,11.7898321342442,37.8452168500068,48.345685297808
"Bahia",2021,-33.7047706316129,47.8092402299531,33.8439572630949,63.9,24,85.9,32.6,83.2,23.5,30.1,86.2,87.5,26.1,0,96.3,0.4,7.3,6.3,17.9,3.1,29.4,85,100,70,19.7,32,23,37.1,39,68.2,17.5,90.9,73.4,87.3,94.5,91.6,23.4,95.9,39.3,88.9,69.9,19,43.9,74.8,94.8,18.4,57.4,53.5,89.5,60.7,81.6,35.72495804568,81.6785725842277,65.805617711212
"Ceará",2021,-12.698261644082,79.8003064078389,18.2760256800711,66.2,29.9,0,22.9,83.2,6.2,30.1,86.6,92.9,12.3,87.5,91.2,9.4,2.3,17.7,21.4,45,16.9,84.2,47.9,100,72.2,49.6,2,76.3,87.1,94.9,11.8,82.7,78.5,85.5,44.6,65.4,0,54.7,27,35.4,0,28.7,75.4,63.9,70,8.7,83.4,53,81.6,57.7,92.9,41.6688751767125,92.5843152203374,58.8279503000582
"Distrito Federal",2021,126.146712141361,-96.2223247730893,-87.5578381754738,66.5,75.063248629812,60,82.9,91,4.7,40.9,99.9,93.8,0.1,50,0,100,100,100,86,41.1,70.1,14.4,100,80,91.4,85.5,5,71.6,91.8,73.4,95.5,75,0,92.2,44.6,75.1,100,0,30.1,70.3,36,59.3,72.2,66.7,56.2,23.1,94.4,76.8,73.4,78.9,100,80.9558894412402,32.578265308908,11.3923935028669
"Espírito Santo",2021,97.5280954910681,33.8131094010689,68.296489497686,62,22,55.3,27.2,83.2,99,79,99.6,99.3,36.7,0,68.1,21.8,17.4,35.2,63,60.9,51.5,100,94.3,100,100,98,8,74.2,63.3,82.4,45,94.1,78,93.5,100,93.1,41.3,82.1,66.4,17.3,49.9,36.8,68.2,81.5,34.8,4.8,97.6,45.4,92.3,64.3,74.8,72.8580810012418,76.9072967576457,81.2475092767667
"Goiás",2021,45.8711181418494,37.3534129787735,-1.82208146457136,64.6,58.4445352636541,85.4,45.1,100,2.4,2.9,90.7,39.3,36,100,68.5,25.8,10.4,38.1,58.6,59.8,67.5,85,94.3,100,77.3,67.6,7,68.9,92.9,62,26.3,64.1,56.3,79.8,89.3,93.2,47.6,79.9,39.3,69.2,97.5,38.8,68.6,70,93.8,4.4,95.3,36.2,72.1,57.5,54.1,58.2414308579155,78.1141849387853,49.8198231444911
"Maranhão",2021,-76.0919494380361,31.6910692235412,59.0836623199632,56.8,7.1,19.1,11.8,40,37.6,25.2,89.2,66.1,54.6,37.5,100,0,0.3,10,2.6,28.5,0,85,100,70,49,17.8,26,68.8,66.4,73.1,11.8,67.9,52.6,79.3,100,60.8,23.4,43.4,32.9,27.4,65.5,0,35.7,80.4,43,2.4,71.1,55.5,65.2,40.2,63.8,23.7312527425671,76.1838940454348,77.1182488403522
"Minas Gerais",2021,47.6964952487594,67.7203551279602,-0.0188511442494632,64.1,0,23.9,29.4,100,43.3,40.9,90.3,92.9,0.4,75,74,26,15.7,31.5,63.4,57.1,55.4,84.2,47.9,100,62.2,84.1,3,100,81.4,76.2,23.4,87.2,79.6,94.3,31.5,56.3,0,91.2,63.4,73.3,55.5,42.3,63.4,74.9,73.3,21.7,82.1,32.9,87.6,51.8,63.4,58.7579322081778,88.4662642937894,50.6280449287283
"Mato Grosso do Sul",2021,74.7028577931546,-24.6130042826948,50.1364157899235,65,66.9,74.9,32.6,80.6,45.3,67.3,83.2,39.3,0.4,37.5,61.8,34.5,25.9,36.2,71.4,78.3,68.2,86.6,99.6,20,84.1,64.7,13,75.3,61.4,65.6,38.9,76.6,69.8,88.1,77,90.9,57.7,56.3,38.3,69.9,86.8,30,84.4,83.3,73.3,2.2,89.3,36.6,90.6,67.1,85.5,66.3995437234367,56.9898561972035,73.1080237054798
"Mato Grosso",2021,45.6730639433852,28.8870938551027,35.1343829837583,46,43.3,74.9,25.3,90.1,0,29.5,93.1,39.3,41.3,100,65,28.9,24.7,30.5,62.8,82.5,65.8,86.6,99.6,20,65,58.4,10,66.4,78.1,73.8,32.6,77.2,72.2,80.9,92.1,69.3,0,61,27.3,37.6,49.5,37.5,84.3,72.6,81.3,6.3,99,20.7,89.9,64.6,91.9,58.1853902400373,75.2280198786864,66.3839965054383
"Pará",2021,-93.0245126136238,87.6179714571511,-16.6992461430619,37.1,0,51.6,0,59.4,4.7,19,96,93.8,55.5,87.5,89.2,5,6.5,5.9,0,51,28.4,69.5,40.5,100,31.1,8.6,25,67.2,39.1,70.6,38.4,86.4,81.3,83.3,92.1,81.7,0,54.4,26,100,56,5,20.6,57.3,100,9.5,50,21.8,91.4,39.1,58,18.9400829012856,95.2493543462307,43.1517628055911
"Paraíba",2021,-20.4320970817511,29.0646785428873,73.1309071259371,65.5,48.9083456333916,56.4,43.3,90.5,44.9,25.2,24.4,7.6,54.6,50,90.2,16.9,2,3.2,26.2,35.4,11.3,64.3,97.2,30,19.7,32,17,68.8,50.6,64.2,33.5,77.5,32.5,78.7,99.2,87.7,41.3,79.9,47.2,32.2,30,33.3,81.8,87.9,35,2.5,99.8,62.9,96.6,58.2,53.8,39.4805402670978,75.2885584331166,83.4143326698845
"Pernambuco",2021,-42.8454336511208,67.7052417139311,-15.4629368991224,65.9,32.2,81.7,8.5,50.4,4.7,12.9,88.4,93.8,12.8,50,90,11,10.4,14.7,26.6,0,16.4,25.9,47.9,80,45.2,48.8,14,53.6,70,70.1,27.1,83.7,63.6,86.3,99.2,94,0,70.1,21.9,60.1,34,21.2,66.3,73.2,79.5,20.4,89.3,57.9,87.6,45.4,70.8,33.1385528727453,88.4611121365328,43.7058861761583
"Piauí",2021,-67.7716312764985,26.4710269441694,71.0314240420637,63.2,37.5,56.4,0,89.3,5.7,0,85,39.3,21.1,0,96.5,12.9,0,0,11.1,43.9,37,85,40.5,80,30.7,52.7,15,75,56.9,100,65.5,15,55.6,65.3,100,65.8,48.3,34.6,16.3,45.3,62.2,16,81.9,59.1,59.8,1.2,73.4,56.5,74.5,66.6,0,26.0855364403181,74.40438356173,82.4733281044106
"Paraná",2021,90.8885739030006,69.3053892660128,-6.5603778352003,64.6,44.2,78.7,26.1,100,36.9,41.9,97.8,93.8,15.2,37.5,56.3,43.3,26.8,49.2,82.4,80,77.7,84.2,16.9,100,54.3,80.7,6,85.3,86.5,61.2,9.9,99.9,99.4,95.3,92.1,89.6,0,94.8,56,72,79.7,50.3,39.2,100,99.4,13.4,99.5,47.8,90.3,66.9,100,70.9793887286419,89.0066018456213,47.6960820428936
"Rio de Janeiro",2021,58.3243738537179,15.6354997292516,-90.1688014922757,65,69.5062538209153,64.8,39.4,75.2,5.7,30,99.9,99.3,26.1,50,42.1,56.4,43.3,72.5,68.5,21,46.6,0,16.9,50,90.3,80.7,11,56.8,71.7,63.8,9.6,90.2,87.5,93.6,18.6,88.2,41.3,57.1,64.3,83.2,35.6,45.2,49,59.6,70,24.9,100,0,87.6,57.8,100,61.7651539099867,70.7105563389868,10.2221395387993
"Rio Grande do Norte",2021,-37.490981951603,72.9971282290371,-9.13670953828519,65.9,69.5062538209153,90.4,0.3,81.2,0,27.3,0,47.1,55.5,50,83.1,29,4.6,26.1,45.9,35.3,36.1,0,80.9,80,0,64.7,21,67.9,43.2,81.8,32,67.7,51.2,79,92.1,70.3,0,54.7,21.9,7,90.9,24.4,88.1,56,93.8,3.5,100,73.7,100,50.8,51,34.6536269482588,90.2651142936457,46.5413502360979
"Rondônia",2021,-28.1770802863805,-79.7222185785711,56.0098984123711,22.4,18.2,34,6.6,40,54.3,41.9,91.9,47.1,0,62.5,78.4,9.9,8.5,16.6,38.3,76,50.8,86.6,81.9,0,77.3,32,12,58.6,65.6,33.7,63.3,60.8,30.5,73,56.8,75.1,88.9,47.3,40.5,72.8,47.5,18.7,79.2,61.8,95,0.9,63.8,84.8,65.9,43.7,78,37.2890510302674,38.2031454121627,75.7405640700148
"Roraima",2021,-56.5280258714248,-179.171725438221,43.8274313730326,81.2,18.7,6.9,51.1,13.1,43.3,40.9,98.9,68.9,0.8,0,74.6,38.1,13.5,54.9,36.6,54.5,34.1,88,97.2,0,100,45.9,24,0,43.3,36.9,100,34.1,11.2,0,15.3,0,63.5,39.6,17.8,61.7,100,10.3,71.1,73.5,89.9,0,49.5,100,0,66.5,78.2,29.2669817162303,4.30084528034997,70.280288066455
"Rio Grande do Sul",2021,127.215037934327,-13.2992568356624,20.7044654271689,65.5,77.1849100070211,83.4,44.6,98.7,100,71.5,96.5,68.9,26.1,37.5,52,35.5,26.8,50.7,85.6,77.2,74.3,88,16.9,30,53.2,95.9,9,78,73.5,76.6,29.9,96.3,100,98.6,79.6,84.4,100,100,69.6,63.7,40.1,51.5,52.3,65.6,34.8,12,98.9,27.3,77.1,51.9,85.9,81.2581786024761,60.846708520324,59.9163957876882
"Santa Catarina",2021,146.168181542324,14.7378035584043,28.8018653647785,64.5,40.7,100,25.3,83.2,90.7,72.8,98.1,96.4,2.2,37.5,51,39.7,26.1,51.9,100,100,100,100,100,100,77.3,91,4,72.8,89.4,92.6,5.5,86.6,86.1,96,82.3,94.8,63,88.7,46.5,62.8,97.1,53.7,73.1,86,86.9,10.1,100,72.8,85.4,49.4,100,86.6210837403723,70.4045320461344,63.5457131031207
"Sergipe",2021,-54.5247229024295,9.89655074397732,94.2197691646404,63.9,51.2500049145379,0,22.7,72.2,13.8,25.2,86.3,39.3,54.9,0,87.7,6.6,3.9,5.6,21.6,14.2,13.5,88,65.3,20,62.5,35.5,22,89,43.3,73.7,26.3,36.5,41.1,72.3,99.2,85.8,14.7,58.2,44.1,75.2,35.6,20.9,79.4,69,58.6,1.4,86.2,66.2,90.3,39.7,80.4,29.8338282514222,68.7541507510283,92.8665238361303
"São Paulo",2021,149.928834592076,43.543813806662,-80.9926560020282,65.8,34.4,85.9,80.3,87.1,13.8,67.3,100,99.6,0.4,87.5,42.6,55.9,40.9,71.3,88.9,45,58.5,49,97.2,100,63.8,67.6,1,93.3,100,76,9.7,100,97.6,100,99.2,63.3,36.4,71.7,100,92.8,58.7,100,31.1,97.7,93.6,100,95.3,66.4,87.7,100,92.9,87.6851829726416,80.2244902930339,14.3349589590186
"Tocantins",2021,-21.2111679792909,-20.31008187979,19.0062443508419,54.8,52.2831700929701,74.9,29.5,90.5,28.4,11.1,93.1,68.1,0.1,0,75.7,32.4,8.9,33.2,47.7,45.3,46.4,86.6,16.9,100,58.8,40,19,65.2,87.3,39.2,81.7,46.3,1.7,63.3,18.6,100,63,60.7,43.9,86.9,22.6,14.6,79.7,67.3,91.4,0.5,81.3,35,97,58,44.7,39.2600975054317,58.4567208539891,59.1552399592451
"Acre",2022,-98.5580701528666,-116.459849268238,-33.0932416661106,0,89.8,19.1,32.6,28.7,43.3,36.4,83.6,93.3,18.9,62.5,77.7,33.8,4.7,24.1,41.3,31.5,9.7,19.3,97.2,0,42.4,17.7,24,72.4,16.4,26.4,74.9,43.5,28.2,41.9,31.8,93.7,88.9,0,33.4,42.8,82.3,21.3,85.9,0,68.8,0.1,0,64.3,59.1,5.9,85.2,17.3743297591246,25.679300688322,35.8038471438524
"Alagoas",2022,-51.4741776270441,47.9663008121327,18.8103336162383,35.1,34.4,34.7,9.2,76.1,5.7,36.4,52.2,92.3,37.9,37.5,94.7,4.7,6.6,6.6,44.8,36.8,2,42.5,62.1,50,57.4,39.7,23,75.9,45.7,65.3,52,78.5,61.4,78.5,99.2,94,2.1,12.9,36.2,83.4,22.6,11.4,73.3,74.1,82.8,3.1,88.9,48.7,63.8,82.6,85.5,30.6969982494508,81.732114478643,59.0674312519003
"Amazonas",2022,-87.8008604380128,-40.000793560593,-67.9384070201931,67.9,26.8,55.3,57.5,0,44.9,0.7,95.8,68.9,0.4,100,86.8,22,18.9,37.4,11.5,40.7,26.7,21.5,79.4,50,17.7,0,17,53.4,38.3,22.1,38.4,86.1,81.8,79.5,18.6,65.8,100,24.6,23.7,55.1,77.4,17.7,32.2,75.3,43,5.6,33.3,42.5,95.3,0,10.3,20.4181464706107,51.7441645197111,20.1859743756694
"Amapá",2022,-93.8369377200518,-40.1663575423711,10.1532545117411,61.4,39.2,30.4,25.3,32.6,44.9,30,100,94.5,55.5,37.5,77.8,30,3.3,40.8,36.1,26.2,17.6,25.9,80.4,50,51.7,9.5,22,72.4,0,0,18.2,0,1.8,48.7,89.3,100,0,68.5,0,3.1,98.5,28.6,0,89.2,67.5,0.3,77.8,100,73.2,46.7,84.2,18.7102023670833,51.6877238195156,55.1872614026763
"Bahia",2022,-67.5291805820428,100.727191099999,-3.05953079543676,56.7962616633121,49.3,78,6.8,87.3,6.5,2.7,60.5,68.1,23.1,0,97.6,1.3,4.6,0.8,23.4,0,27.4,14.4,40.5,100,17.7,39.9,26,55.2,19.5,64.5,18.2,93.1,74.9,88.3,99.2,94,2.1,83.3,41.8,72.7,31.9,21.9,41.2,53.8,82.8,16.6,72.2,46.8,93,52.8,41.9,26.1541393117929,99.7182824772962,49.2651887781409
"Ceará",2022,-25.2335353763274,53.5905714733241,14.3547906592541,59.9,9.6,0,8.5,77.4,19,36.4,71.2,95.6,36,87.5,95,9.6,1.8,17.4,24.6,52,16.4,49.3,51.1,50,65,45.9,10,72.4,76.6,75.2,20.4,82.9,77.2,84.3,82.3,53.4,35.1,41.3,45.8,31.6,2.6,27.4,82,52.5,18.3,9.9,72.2,44,90.3,44.2,77.5,38.1219446361118,83.6494262683068,57.0704224184438
"Distrito Federal",2022,134.930370465356,-106.554849798419,-39.0904755274137,89.7,53.7,52.5,68.1,100,23.5,65.1,100,74.5,12.9,50,0,100,100,100,89.6,35.5,81.9,70.3,65.3,30,97.1,91,1,72.4,79.3,61.1,74.9,75.9,0,92.3,37.5,75.1,84.4,58.9,25.1,100,79.2,66,72.1,71.1,34.8,21.3,100,72.5,86.4,69.5,84.2,83.441278004191,29.0559113466852,33.1158405163879
"Espírito Santo",2022,52.8751291653685,-17.7875343753844,-21.3386991320353,63.1577353692294,72.9,44,25.6,66.8,98.4,41.9,97.4,100,21.7,100,64.8,27.1,20.8,33.7,65,65,67.8,48.8,88.9,50,0,84.1,16,55.2,40.2,73.9,67.6,93.2,82.1,93.9,73.9,62,100,56.6,61,3.9,64.5,40.9,74.4,82.5,37.3,4.8,100,58,98.2,57.6,26.9,60.2232575923504,59.3166563659048,41.0723240725714
"Goiás",2022,35.5363474955822,43.4277871616251,13.9609248861425,100,77.1849100070211,72,25.2,80.6,28.4,32.2,79.2,47.1,54.9,100,67.3,26.7,11.7,38.1,65.4,71.9,71.1,100,88.6,100,7.1,56.8,21,55.2,73,47.5,40.7,66.9,61.2,80.5,99.2,26.5,0,97.9,36.1,59.8,56.6,40.5,77,83.2,89.9,5.2,100,41.2,80,61.2,62,55.3171458029307,80.1849368526243,56.8938887309239
"Maranhão",2022,-89.46046710883,50.621298313819,49.7243171663966,46.00184096738,18.6,24.1,0,28.2,37.6,26,78.7,34.6,16.8,37.5,100,4.5,0,9,7.4,43.6,0,53.7,61.1,100,90.3,14.4,14,82.8,42.6,70.1,9.9,74.6,54.2,80.7,37.5,99.3,0,12.2,20.1,0,31.9,0,32.4,71.9,43,2.5,83.3,71.4,73.5,23.9,46.9,19.9485508549231,82.637202145678,72.923317913305
"Minas Gerais",2022,54.9887148049094,56.1760393304484,-15.2843008719215,65.5,100,44.8,25.6,87.1,24.4,40.9,79.4,85.9,0.1,87.5,75.4,18.7,16.4,29.2,67.7,71.4,65.7,84.2,81.9,100,0,100,16,93.1,75.4,65.9,49.9,86.6,80.5,94.9,99.2,69.3,19.2,84.7,71.7,84.1,41.4,43.4,55.4,81,99.4,22.6,88.9,60.3,90.7,43.7,51,60.8213092675825,84.5308113052089,43.7859522259614
"Mato Grosso do Sul",2022,59.4492305683249,-19.4461561140396,59.3664747864974,54.8,45.7,74.9,35.1,88.4,24.4,40.9,68.3,7.6,17,37.5,54.9,36.7,34.2,42.6,78.9,90.2,73.2,84.2,94.3,20,78.6,49.6,7,75.9,41.8,66.9,45,76.7,73.1,89.7,31.8,96.9,63,45.8,17.6,45.8,59.5,35.6,82.1,96.5,46.6,2.4,94.4,30.1,94.6,66,65.7,62.0834388330017,58.7512328282256,77.2450075764553
"Mato Grosso",2022,32.5872924428144,44.4227021149372,1.67066243877735,62.0277493750295,24,44.4,29,93.5,6.5,30.1,83.1,46.1,75.2,100,56.5,16.1,43.7,25.2,71.5,96.3,67.3,67.6,95.9,70,90.3,41,5,37.9,77.7,62.4,34,82.8,79.3,83.8,100,29.8,0,48.5,29.2,50.7,100,40.9,56.6,78.2,100,6.5,88.9,31.3,96.5,50.9,73.9,54.4826930693085,80.5241029924869,51.3852979912895
"Pará",2022,-92.8543549101338,65.3935442122303,-12.266831483695,46.00184096738,9.6,41.9,27.2,51.5,1.4,0.7,91.2,81,34.7,100,89.7,0,12.2,0,0,50.5,39.1,86.6,56.9,100,42.1,16.3,21,58.6,21.5,35.2,32.6,92.2,80.8,82,69.6,70.6,14.7,24.2,21.9,21.8,41,6.4,39.7,46.6,82.8,8.7,50,24.3,98.4,29.5,53.3,18.9882300393632,87.6730553126089,45.1384053570724
"Paraíba",2022,-37.613782769121,-6.88957741306872,30.1670561890042,62.0277493750295,26.8,0,11.4,63.3,92.6,71.5,28.6,95.1,38.2,50,89.9,13.1,0.7,0.7,28,30.3,7.3,33.2,47.9,20,100,49.3,14,44.8,34.4,54.7,40.5,77.5,0.9,79.7,94.9,99.3,54,48.4,59.7,67,63.8,21,90.7,88.7,67.5,2,88.9,76.9,99.9,58.9,51,34.6188797237969,63.0317658664619,64.1576021953488
"Pernambuco",2022,-34.5491128631778,65.3916122933778,-25.4218233790186,100,32.5,34,37.5,72.2,5.7,18.1,85.2,93.8,12.3,50,93.3,15.4,4.5,19.9,29.7,10.5,18.5,15,59,100,82.6,54.1,15,41.4,34.4,55.5,1.9,83.4,58.5,84.1,34,81.7,2.1,50.9,28.6,94.7,0,23.8,77.5,65,72.7,16.6,83.3,59.7,93.4,49.4,80.4,35.4860463703687,87.6723967221861,39.2422361869762
"Piauí",2022,-92.7600395601612,-20.6210627095327,5.00110835486414,0,80.0303334674972,79.2,6.6,52.7,13.4,30.1,56.6,58.8,0.1,75,91.7,24.5,4.3,3.3,17.6,45.9,31.8,88,0,50,2.4,35.5,21,87.9,29.7,69.3,100,24.4,51.7,67.7,91.2,93.7,84.8,7.7,33.4,45.5,54.1,11,65.3,50,86.9,1.6,55.6,62,77.4,49.4,10.3,19.0149171307193,58.3507076040687,52.8780296242208
"Paraná",2022,81.6033673414096,48.8525035696243,-15.0521530106409,92.1,49.2391547803664,93.9,16.5,100,45.3,40.9,97.6,99.1,57.4,50,56.1,35.5,28,44,84.9,83,72.6,64.3,88.9,100,0,76,18,55.2,76.6,76.8,38.4,100,100,95.5,100,26.5,23.4,83.3,61.7,26.2,95.3,48.4,48.3,90.6,70.9,17.1,94.4,68.4,90.7,63,76.4,68.3520840975214,82.0342206711304,43.8900026939114
"Rio de Janeiro",2022,94.8451918914584,-0.553276974804152,-65.8856251166954,94.5,34.4,57.6,80.5,87.1,0,40.9,99.3,98.4,19.4,50,45.1,53.2,40.5,75.6,69.7,22.5,49.2,0,78.8,30,90.3,86.1,5,46.6,71.1,78.9,23.4,84.6,84.7,95.5,94.9,81.1,73,64,65.5,86.9,52.2,55,55.1,66,29.1,26.9,94.4,0,91.9,58.9,100,72.0989374102675,65.191808343963,21.1060471106923
"Rio Grande do Norte",2022,-45.2611076224741,-2.71162506168344,9.62717897165482,46.7,34.5,73.5,16.2,49.3,36.2,30,0,90.1,36.7,50,85.7,20.1,6.7,23.2,47.6,32.5,18.2,57.8,53.9,30,37.5,58.3,14,100,27.3,69.6,67.5,61.6,44.5,78.8,100,94,84.8,21.8,12.6,42.9,94,27.8,100,52.6,91.4,3.1,94.4,68.5,100,51.7,53.3,32.4550235004998,64.4560282788736,54.9514702744658
"Rondônia",2022,-5.59394800200392,-70.6960480986774,26.4809463919833,65.8,24.3,46.9,5.6,52.7,98.4,40.9,83.2,74.3,0,75,74.7,17.7,13.3,13.9,36.4,90.6,60.1,69.5,100,20,39.6,27.1,16,46.6,73,24.3,34,78.9,40.8,73.8,47.9,41.8,100,33,41.1,50.3,21.1,34.9,63.6,47.6,66.3,1.2,72.2,95.5,68.5,51.8,74.5,43.6790831358951,41.2801635926763,62.5054592586048
"Roraima",2022,-43.517579787816,-191.78788836957,31.7102837918369,66.2126389708382,39.2,70.5,47.4,18.7,90.7,25.2,97.9,86.1,0.8,0,74.4,24.6,16.2,54,39.9,80.3,29,85,91.7,0,82.6,40,20,0,59.8,31.2,95.5,21.2,14.2,0,0,68.6,100,0,18.3,49.8,83.7,20.6,82.1,46.3,73.5,0,72.2,97.6,0,55.4,80.4,32.9483651105221,0,64.8492887495228
"Rio Grande do Sul",2022,81.197868452878,17.94222134911,-31.3779864206354,52.9,77.1849100070211,34,43.4,88.4,41.8,30,90.6,99.1,57.4,100,52.8,29,28.4,46.5,84,80.7,83.6,63.5,86.4,70,7.1,81.3,20,100,44.9,77.6,67.5,97.9,99.6,98.5,99.5,65.4,88.9,100,77.9,65.9,78.1,51.7,59.7,83.7,92,12.9,94.4,52.6,81.7,59.5,63.8,68.2373457661028,71.4969168866298,36.5726378187301
"Santa Catarina",2022,83.0959863986061,14.6519621452777,30.2658888562013,62.5,0,54.2,0.3,88.4,45.3,29.5,94.4,99.3,55.5,0,51.7,36.3,32.6,47.2,100,100,100,75.7,99.6,80,11.9,90.6,22,63.8,61.7,95.2,40.7,87.3,83,96,100,29.8,61.6,69.5,50.9,79.2,78.2,50.8,76.7,79.2,100,10.4,94.4,83.6,91,56.1,100,68.7744295709859,70.3752687401266,64.2018997616235
"Sergipe",2022,-80.0697859605414,34.7807009046061,20.2574454381936,54.8,24.9738426687755,55.1,6.2,69,0,21.1,34.8,93.8,23.8,0,91.5,7.6,4.3,5.9,27.3,21.2,28,49,16.9,70,73.1,48.8,15,81,30.5,63.5,65.5,42.1,46.5,73.8,92.1,100,36.4,16.4,11.5,91.7,38.6,24.1,72.1,81.3,95,1.2,72.2,68.5,94.1,53.4,36.4,22.6057001500539,77.2371483435787,59.7160379692733
"São Paulo",2022,147.117491605079,35.7141864434606,-55.4554941437318,37.0932669182519,23.1,44.4,44.6,100,44.9,71.5,99.9,99.6,37.9,100,44.3,53.5,43,71.4,88.3,54.9,77.9,51.2,80.9,50,27.8,96.9,5,87.9,100,100,9.9,99.8,99.9,100,99.5,41.8,41.3,75.2,100,55.8,72.6,100,72.7,100,100,100,100,70,93.5,100,67.2,86.8896966901977,77.555373218757,25.7809125284896
"Tocantins",2022,-22.1474589578358,-34.2741972526204,67.1642928411179,63.9,0,56.4,1.2,75,23.5,3.3,82.6,0,0.4,0,75,28.5,10.4,36.3,52.4,78.3,68.1,73.8,84,40,97.1,29,12,51.7,72.7,59.2,38.3,40,14.3,66.2,31.5,75.2,48.2,29.1,51.7,39.4,64.4,21.7,52.4,64,92,0.7,77.8,41.8,98.8,48.5,51,38.9951683832102,53.696359084543,80.740049973556
